name,date,county,county_state,city,city_state,state,race,denomination
New Zion African Methodist Episcopal Church,1889,Levy,"Levy County, Florida",Raleigh,"Raleigh, Florida",Florida,African-American,African Methodist Episcopal
Cave Springs Church,1927,Jackson,"Jackson County, Florida",Marianna,"Marianna, Florida",Florida,White,General Council of The Assemblies of God
First Born Church of the Living God,1924,St. Lucie,"St. Lucie County, Florida",Ft. Pierce,"Ft. Pierce, Florida",Florida,African-American,National Baptist Convention of America Inc.
Saint John's Missionary Baptist Church,1910,Liberty,"Liberty County, Florida",Telogia,"Telogia, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
Pleasant Grove Methodist Episcopal Church,1876,Bradford,"Bradford County, Florida",Starke,"Starke, Florida",Florida,African-American,Methodist
Church of Christ,1925,Volusia,"Volusia County, Florida",Daytona Beach,"Daytona Beach, Florida",Florida,White,Churches of Christ
Sand Pond Saint Paul African Methodist Episcopal Mission,1885,Columbia,"Columbia County, Florida",Lake City,"Lake City, Florida",Florida,African-American,Methodist
Jerusalem Missionary Baptist Church,1872,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,African-American,Baptist
Union Baptist Church,1922,Palm Beach,"Palm Beach County, Florida",West Palm Beach,"West Palm Beach, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
Saint John's Primitive Baptist Church,1918,Brevard,"Brevard County, Florida",Mims,"Mims, Florida",Florida,African-American,Baptist
Saint Peters Baptist Church,1907,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,African-American,Baptist
DeFuniak Springs Holiness,1921,Walton,"Walton County, Florida",DeFuniak Springs,"DeFuniak Springs, Florida",Florida,White,Pentecostal Apostolic Church of Jesus Christ
The Church of God,1909,Monroe,"Monroe County, Florida",Key West,"Key West, Florida",Florida,White,Church of God
Mount Olive African Methodist Episcopal Church,1873,Columbia,"Columbia County, Florida",Columbia City,"Columbia City, Florida",Florida,African-American,Methodist
Grace Community Chapel,1933,Okaloosa,"Okaloosa County, Florida",Fort Walton,"Fort Walton, Florida",Florida,White,Southern Baptist Convention
Presbyterian Church of McIntosh,1885,Marion,"Marion County, Florida",McIntosh,"McIntosh, Florida",Florida,White,Presbyterian Church
Seventh Day Adventist,1932,Pasco,"Pasco County, Florida",Zephyrhills,"Zephyrhills, Florida",Florida,White,Seventh-day Adventist Church
Saint James Catholic Church,1883,Orange,"Orange County, Florida",Orlando,"Orlando, Florida",Florida,White,Catholic
Saint Andrew Methodist Church,1887,Bay,"Bay County, Florida",Saint Andrew,"Saint Andrew, Florida",Florida,White,Methodist
Church of Christ,1904,Manatee,"Manatee County, Florida",Oneco,"Oneco, Florida",Florida,White,Churches of Christ
Palatka Heights Baptist Church,1912,Putnam,"Putnam County, Florida",Palatka,"Palatka, Florida",Florida,White,Southern Baptist Convention
Orange County Corporation Mortgages,1939,Orange,"Orange County, Florida",null,"null, Florida",Florida,null,null
Maitland Methodist Episcopal Church,1874,Orange,"Orange County, Florida",Maitland,"Maitland, Florida",Florida,White,"Methodist Episcopal Church, South"
Mount Calvary,1923,Baker,"Baker County, Florida",Glen Saint Mary,"Glen Saint Mary, Florida",Florida,White,Methodist
Trinity Methodist Church (Tarpon Springs Meth. Church),1888,Pinellas,"Pinellas County, Florida",Tarpon Springs,"Tarpon Springs, Florida",Florida,White,The Methodist Church
Macedonia Missionary Baptist Church,1936,Leon,"Leon County, Florida",Tallahassee,"Tallahassee, Florida",Florida,African-American,Missionary Baptist
Church of God,1932,Volusia,"Volusia County, Florida",Daytona Beach,"Daytona Beach, Florida",Florida,White,Church of God
Advent Christian Church,1898,Bay,"Bay County, Florida",Cook,"Cook, Florida",Florida,White,Adventist
Knights Methodist Church,1904,Hillsborough,"Hillsborough County, Florida",Knights,"Knights, Florida",Florida,White,Methodist
Riverside Avenue Christian Church,1920,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,White,"Christian Church, Disciples of Christ"
Burney Methodist Church,1889,Duval,"Duval County, Florida",Dinsmore,"Dinsmore, Florida",Florida,White,Methodist
Seventh Day Adventist Church,1922,Polk,"Polk County, Florida",Bartow,"Bartow, Florida",Florida,White,Seventh-day Adventist Church
Church of Saint Mary Star of the Sea,1840,Monroe,"Monroe County, Florida",Key West,"Key West, Florida",Florida,White,Roman Catholic
Beulah Congregational Church,1880,Orange,"Orange County, Florida",Winter Garden,"Winter Garden, Florida",Florida,White,Congregational and Christian Churches
Bethel Methodist Episcocal Church,1832,Okaloosa,"Okaloosa County, Florida",Crestview,"Crestview, Florida",Florida,White,Christian Methodist  Episcopal Church
First Baptist Church,1859,Hillsborough,"Hillsborough County, Florida",Tampa,"Tampa, Florida",Florida,White,Baptist
First Methodist Church,1880,Volusia,"Volusia County, Florida",DeLand,"DeLand, Florida",Florida,White,Methodist
Narcoosee Missionary Baptist Church,1878,Osceola,"Osceola County, Florida",Narcoossee,"Narcoossee, Florida",Florida,White,Southern Baptist Convention
Homestead Baptist Church,1909,Dade,"Dade County, Florida",Homestead,"Homestead, Florida",Florida,White,Baptist
Saint Mark's Missionary Baptist Church,1918,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,African-American,Baptist
"First Church of Christ, Scientist",1931,Dade,"Dade County, Florida",Coral Gables,"Coral Gables, Florida",Florida,White,"Church of Christ, Scientist"
Church of the Nazarene,1927,Alachua,"Alachua County, Florida",High Springs,"High Springs, Florida",Florida,White,Church of the Nazarene
Houston Methodist Episcopal Church,1864,Suwannee,"Suwannee County, Florida",Houston,"Houston, Florida",Florida,White,"Methodist Episcopal Church, South"
Saint Mary's Missionary Baptist Church,1921,Manatee,"Manatee County, Florida",Bradenton,"Bradenton, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
Church of God,1935,Madison,"Madison County, Florida",Lee,"Lee, Florida",Florida,White,Church of God
Hopewell Primitive Baptist Church,1914,Santa Rosa,"Santa Rosa County, Florida",Milton,"Milton, Florida",Florida,White,Antioch Assembly of God
Sardis Baptist Church,1885,Levy,"Levy County, Florida",Trenton,"Trenton, Florida",Florida,White,Baptist
First Lutheran Church,1924,Broward,"Broward County, Florida",Fort Lauderdale,"Fort Lauderdale, Florida",Florida,White,Lutheran
"Telogia Methodist Episcopal Church, South",1905,Liberty,"Liberty County, Florida",Telogia,"Telogia, Florida",Florida,White,"Methodist Episcopal Church, South"
Saint Mary's Chapel,1932,Martin,"Martin County, Florida",Stuart,"Stuart, Florida",Florida,White,Protestant Episcopal
Mount Moriah Church,1895,Leon,"Leon County, Florida",Tallahassee,"Tallahassee, Florida",Florida,African-American,African Methodist Episcopal Church
New Jerusalem Baptist Church,1939,Palm Beach,"Palm Beach County, Florida",West Palm Beach,"West Palm Beach, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
Mount Olive Missionary Baptist Church,1923,Charlotte,"Charlotte County, Florida",Rouxville,"Rouxville, Florida",Florida,African-American,Baptist
Springfield Methodist Church,1905,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,White,Methodist
First Methodist Church,1914,Highlands,"Highlands County, Florida",Avon Park,"Avon Park, Florida",Florida,White,Methodist
Windsor Presbyterian Church,1886,Alachua,"Alachua County, Florida",Windsor,"Windsor, Florida",Florida,White,Presbyterian
New Bethel Baptist Church,1929,Palm Beach,"Palm Beach County, Florida",West Palm Beach,"West Palm Beach, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
Ramah Baptist Church,1887,Marion,"Marion County, Florida",Bellview,"Bellview, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
Primitive Baptist,1908,Indian River,"Indian River County, Florida",Vero Beach,"Vero Beach, Florida",Florida,White,Primitive Baptist
Pickens Temple Methodist Church,1850,Dixie,"Dixie County, Florida",Old Town,"Old Town, Florida",Florida,African-American,Methodist
Lealman Avenue Methodist Church,1927,Pinellas,"Pinellas County, Florida",St. Petersburg,"St. Petersburg, Florida",Florida,White,Southern Methodist Church
Union Grove Primitive Baptist Church,1875,Putnam,"Putnam County, Florida",Palatka,"Palatka, Florida",Florida,White,Suwannee Association
New Hope Church,1875,Madison,"Madison County, Florida",Sirmans,"Sirmans, Florida",Florida,African-American,Primitive Baptist Convention of the United States of America Inc.
Dunn's Creek Baptist Church,1906,Duval,"Duval County, Florida",Oceanway,"Oceanway, Florida",Florida,White,Baptist
Columbia County Church Histories,1939,Columbia,"Columbia County, Florida",null,"null, Florida",Florida,null,null
Bethel Missionary Baptist Church,1924,Sarasota,"Sarasota County, Florida",Sarasota,"Sarasota, Florida",Florida,African-American,National Baptist Convention of America Inc.
Salvation Army,1936,Volusia,"Volusia County, Florida",Daytona Beach,"Daytona Beach, Florida",Florida,White,Salvation Army
First Methodist Church,1895,Volusia,"Volusia County, Florida",New Smyrna,"New Smyrna, Florida",Florida,White,Methodist
Hague Baptist Church,1911,Alachua,"Alachua County, Florida",Hague,"Hague, Florida",Florida,White,Baptist
Pleasant Hill Baptist Church,1873,Sumter,"Sumter County, Florida",Bushnell,"Bushnell, Florida",Florida,White,Southern Baptist Convention
Mount Pedro Baptist Church,1890,Marion,"Marion County, Florida",Shiloh,"Shiloh, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
Abassynian Baptist Church,1940,Dade,"Dade County, Florida",Miami,"Miami, Florida",Florida,African-American,Baptist
"Northwood Methodist Episcopal Church, South",1924,Palm Beach,"Palm Beach County, Florida",West Palm Beach,"West Palm Beach, Florida",Florida,White,"Methodist Episcopal Church, South"
Saint James Chapel,1885,Nassau,"Nassau County, Florida",Fernandina,"Fernandina, Florida",Florida,African-American,African Methodist Episcopal Church
First Presbyterian Church,1911,Lee,"Lee County, Florida",Fort Myers,"Fort Myers, Florida",Florida,White,Presbyterian Church of the United States
Church of the Brethren,1914,DeSoto,"DeSoto County, Florida",Arcadia,"Arcadia, Florida",Florida,White,Brethren
Roberts Chapel,1883,Sarasota,"Sarasota County, Florida",Myakka,"Myakka, Florida",Florida,White,Methodist
New Mount  Zion African Methodist Episcopal Church,1918,Dade,"Dade County, Florida",Homestead,"Homestead, Florida",Florida,African-American,Methodist
Harrison Methodist Episcopal Church,1887,Bay,"Bay County, Florida",Panama City,"Panama City, Florida",Florida,White,Methodist
Chipley Methodist Church,1887,Washington,"Washington County, Florida",Chipley,"Chipley, Florida",Florida,White,Methodist
Suwannee Valley Baptist Mission,1939,Columbia,"Columbia County, Florida",Suwannee Valley,"Suwannee Valley, Florida",Florida,White,Baptist
New Salem Baptist Church,1909,Lake,"Lake County, Florida",Fruitland Park,"Fruitland Park, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
Mt. Carmel African Methodist Episcopal Church,1904,Hillsborough,"Hillsborough County, Florida",Tampa,"Tampa, Florida",Florida,African-American,African Methodist Episcopal
Saint Paul African Methodist Episcopal Church,1903,Polk,"Polk County, Florida",Fort Meade,"Fort Meade, Florida",Florida,African-American,African Methodist Episcopal Church
Church of God in Christ,1931,Bradford,"Bradford County, Florida",Lawtey,"Lawtey, Florida",Florida,White,Church of God
Fidelis Methodist Episcopal Church,1888,Santa Rosa,"Santa Rosa County, Florida",Jay,"Jay, Florida",Florida,White,"Methodist Episcopal Church, South"
St. Thomas Church,1909,Osceola,"Osceola County, Florida",St. Cloud,"St. Cloud, Florida",Florida,White,Roman Catholic
Mount Zion Methodist Episcopal Church,1920,Nassau,"Nassau County, Florida",Fernandina,"Fernandina, Florida",Florida,White,Methodist Episcopal Church
Church of Christ,1938,Sumter,"Sumter County, Florida",Cumpresco,"Cumpresco, Florida",Florida,White,Churches of Christ
Pentecostal Church,1931,Volusia,"Volusia County, Florida",Daytona Beach,"Daytona Beach, Florida",Florida,White,Pentecostal Assemblies of the World
Prospect Methodist Church,1878,Polk,"Polk County, Florida",Bartow,"Bartow, Florida",Florida,White,"Methodist Episcopal Church, South"
Bethlehem Baptist Church,1931,Putnam,"Putnam County, Florida",Palatka,"Palatka, Florida",Florida,African-American,Christian Free Will Baptist Church
Bethel Pentecostal Church,1933,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,White,Pentecostal
Kingley Chapel Baptist Church,1923,Seminole,"Seminole County, Florida",Altamonte Springs,"Altamonte Springs, Florida",Florida,African-American,National Baptist Convention of America Inc.
Free Methodist Church,1923,Dade,"Dade County, Florida",Florida City,"Florida City, Florida",Florida,White,Methodist
The Carrent Second Day Adventists Church,1921,Calhoun,"Calhoun County, Florida",Altha,"Altha, Florida",Florida,White,Adventist
Church of Christ,1937,Indian River,"Indian River County, Florida",Vero Beach,"Vero Beach, Florida",Florida,White,Churches of Christ
Frink Missionary Baptist Church,1911,Calhoun,"Calhoun County, Florida",Frink,"Frink, Florida",Florida,White,Baptist
Shiloh Methodist Church,1830,Madison,"Madison County, Florida",Lovett,"Lovett, Florida",Florida,White,"Methodist Episcopal Church, South"
Mount Mariah Baptist Church,1903,Suwannee,"Suwannee County, Florida",Live Oak,"Live Oak, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
M.E. Community Church of Cumpresco,1937,Sumter,"Sumter County, Florida",Cumpresco,"Cumpresco, Florida",Florida,White,"Methodist Episcopal Church, South"
Bright Hope Missionary Baptist Church,1934,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,African-American,Baptist
Community Church of Jensen,1932,Martin,"Martin County, Florida",Jensen,"Jensen, Florida",Florida,White,Inter-Denominational
Lee County Incorporations,1939,Lee,"Lee County, Florida",null,"null, Florida",Florida,null,null
Mt. Pleasant Missionary Baptist Church,1892,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,African-American,Baptist
